iter	MultiClass
0	1.28150647
1	1.219239406
2	1.151180891
3	1.096517952
4	1.054164648
5	0.9983215121
6	0.9581486304
7	0.9201983363
8	0.8812299502
9	0.8485563987
10	0.8217575928
11	0.791919413
12	0.7620344007
13	0.7373446462
14	0.7145744287
15	0.6858906593
16	0.6636866665
17	0.6428974889
18	0.6271331371
19	0.6096838464
20	0.5961445669
21	0.5829562263
22	0.5695052953
23	0.5573197971
24	0.5432115766
25	0.5296165885
26	0.5143342581
27	0.5036082666
28	0.4963605625
29	0.4875501465
30	0.4747833089
31	0.4633145373
32	0.4532569339
33	0.4436033406
34	0.4353014464
35	0.4275597424
36	0.4206214934
37	0.4151309492
38	0.4084413255
39	0.4009279699
40	0.3933469822
41	0.3873190225
42	0.3822387875
43	0.3759198543
44	0.3704407869
45	0.3650311215
46	0.360722001
47	0.3557490955
48	0.3499877317
49	0.3454000604
50	0.3407865219
51	0.3360948676
52	0.3317528742
53	0.3262202339
54	0.3228400259
55	0.3195635038
56	0.3149688918
57	0.3110985245
58	0.3073987334
59	0.3028023953
60	0.2992724905
61	0.2954501831
62	0.2921404583
63	0.2893920686
64	0.285556633
65	0.2827667402
66	0.2800912127
67	0.2759836622
68	0.2716607164
69	0.2695099663
70	0.2672476161
71	0.265095259
72	0.2615070363
73	0.2577958386
74	0.2552675202
75	0.2512894219
76	0.2493008724
77	0.2466616601
78	0.244325747
79	0.2422705127
80	0.2391286968
81	0.2361088138
82	0.2342648594
83	0.231726869
84	0.2291261564
85	0.2255035546
86	0.2236714908
87	0.2218465374
88	0.2186999354
89	0.2170846874
90	0.2149735231
91	0.2133942996
92	0.2098055512
93	0.2080964099
94	0.2066854461
95	0.2044980726
96	0.2021864226
97	0.2003285758
98	0.1984344002
99	0.1965858731
100	0.1954858154
101	0.1929017125
102	0.1915523185
103	0.1903957283
104	0.1888808657
105	0.1870931349
106	0.185961937
107	0.1845198766
108	0.1831491911
109	0.1807804092
110	0.1794247431
111	0.1778747401
112	0.1756850592
113	0.1742866784
114	0.1728744557
115	0.1712322413
116	0.1699635028
117	0.1685580599
118	0.1673879177
119	0.1659077231
120	0.1635795194
121	0.162059094
122	0.160200765
123	0.1596154352
124	0.1582921957
125	0.1572701266
126	0.1562113334
127	0.1551611113
128	0.1540119122
129	0.1527974322
130	0.1518771072
131	0.150876956
132	0.1504732002
133	0.1497402256
134	0.1487318907
135	0.1478008936
136	0.1472037349
137	0.1461594686
138	0.1453129036
139	0.143809102
140	0.1426310511
141	0.1415144155
142	0.1408914292
143	0.1396565348
144	0.1386190265
145	0.1376734052
146	0.1366754746
147	0.1356367203
148	0.134585238
149	0.1336887043
150	0.1328973448
151	0.1322483963
152	0.1313860255
153	0.1305062405
154	0.1298189498
155	0.1289077665
156	0.1280792959
157	0.1267460581
158	0.1258075932
159	0.1251068471
160	0.1243759873
161	0.1235847253
162	0.12292625
163	0.1221963412
164	0.1214841268
165	0.1203666472
166	0.1199033318
167	0.1191087232
168	0.1184798253
169	0.1176053568
170	0.1169130154
171	0.1161502832
172	0.1152660233
173	0.1146990388
174	0.1140142452
175	0.1132083048
176	0.112777101
177	0.1120798221
178	0.1115546618
179	0.1111786133
180	0.1105713076
181	0.1095612725
182	0.1092388795
183	0.1082910708
184	0.1077305437
185	0.1069329212
186	0.1063886341
187	0.1059307947
188	0.1052873196
189	0.1047457829
190	0.1042579957
191	0.1037803503
192	0.1033094621
193	0.1027401953
194	0.1021205571
195	0.1016230703
196	0.1010838057
197	0.1005308494
198	0.1001438874
199	0.09965673542
